DATE,TIME PERIOD,unemp
1991-03-31,1991Q1,5.240927
1991-06-30,1991Q2,5.355728
1991-09-30,1991Q3,5.638474
1991-12-31,1991Q4,5.895746
1992-03-31,1992Q1,6.092726
1992-06-30,1992Q2,6.395121
1992-09-30,1992Q3,6.750727
1992-12-31,1992Q4,7.069739
1993-03-31,1993Q1,7.354867
1993-06-30,1993Q2,7.645031
1993-09-30,1993Q3,7.925806
1993-12-31,1993Q4,8.192918
1994-03-31,1994Q1,8.456458
1994-06-30,1994Q2,8.534423
1994-09-30,1994Q3,8.433143
1994-12-31,1994Q4,8.298807
1995-03-31,1995Q1,8.132575
1995-06-30,1995Q2,8.098121
1995-09-30,1995Q3,8.261390
1995-12-31,1995Q4,8.433595
1996-03-31,1996Q1,8.576155
1996-06-30,1996Q2,8.758467
1996-09-30,1996Q3,9.008653
1996-12-31,1996Q4,9.279068
1997-03-31,1997Q1,9.539558
1997-06-30,1997Q2,9.667690
1997-09-30,1997Q3,9.672052
1997-12-31,1997Q4,9.657778
1998-03-31,1998Q1,9.648657
1998-06-30,1998Q2,9.516692
1998-09-30,1998Q3,9.292748
1998-12-31,1998Q4,9.064719
1999-03-31,1999Q1,8.845931
1999-06-30,1999Q2,8.636742
1999-09-30,1999Q3,8.467278
1999-12-31,1999Q4,8.300828
2000-03-31,2000Q1,8.126628
2000-06-30,2000Q2,7.994959
2000-09-30,2000Q3,7.892825
2000-12-31,2000Q4,7.781234
2001-03-31,2001Q1,7.662090
2001-06-30,2001Q2,7.683686
2001-09-30,2001Q3,7.837322
2001-12-31,2001Q4,8.017758
2002-03-31,2002Q1,8.179275
2002-06-30,2002Q2,8.397857
2002-09-30,2002Q3,8.736404
2002-12-31,2002Q4,9.112239
2003-03-31,2003Q1,9.503636
2003-06-30,2003Q2,9.729739
2003-09-30,2003Q3,9.767142
2003-12-31,2003Q4,9.765478
2004-03-31,2004Q1,10.055635
2004-06-30,2004Q2,10.285928
2004-09-30,2004Q3,10.384150
2004-12-31,2004Q4,10.587011
2005-03-31,2005Q1,10.850370
2005-06-30,2005Q2,11.222696
2005-09-30,2005Q3,11.178767
2005-12-31,2005Q4,10.857531
2006-03-31,2006Q1,10.540760
2006-06-30,2006Q2,10.217256
2006-09-30,2006Q3,9.908511
2006-12-31,2006Q4,9.584838
2007-03-31,2007Q1,9.060115
2007-06-30,2007Q2,8.641125
2007-09-30,2007Q3,8.409202
2007-12-31,2007Q4,8.190784
2008-03-31,2008Q1,7.860494
2008-06-30,2008Q2,7.539483
2008-09-30,2008Q3,7.130384
2008-12-31,2008Q4,7.007660
2009-03-31,2009Q1,7.227245
2009-06-30,2009Q2,7.463401
2009-09-30,2009Q3,7.510791
2009-12-31,2009Q4,7.251682
2010-03-31,2010Q1,7.010777
2010-06-30,2010Q2,6.687761
2010-09-30,2010Q3,6.415945
2010-12-31,2010Q4,6.229551
2011-03-31,2011Q1,5.873069
2011-06-30,2011Q2,5.581314
2011-09-30,2011Q3,5.419943
2011-12-31,2011Q4,5.240010
2012-03-31,2012Q1,5.128485
2012-06-30,2012Q2,5.113798
2012-09-30,2012Q3,5.032415
2012-12-31,2012Q4,5.010065
2013-03-31,2013Q1,5.053940
2013-06-30,2013Q2,4.968056
2013-09-30,2013Q3,4.875210
2013-12-31,2013Q4,4.843504
2014-03-31,2014Q1,4.821174
2014-06-30,2014Q2,4.716538
2014-09-30,2014Q3,4.696802
2014-12-31,2014Q4,4.632455
2015-03-31,2015Q1,4.481325
2015-06-30,2015Q2,4.401231
2015-09-30,2015Q3,4.292992
2015-12-31,2015Q4,4.215123
2016-03-31,2016Q1,4.090386
2016-06-30,2016Q2,3.987808
2016-09-30,2016Q3,3.867527
2016-12-31,2016Q4,3.707163
2017-03-31,2017Q1,3.638759
2017-06-30,2017Q2,3.563588
2017-09-30,2017Q3,3.467362
2017-12-31,2017Q4,3.387145
2018-03-31,2018Q1,3.285343
2018-06-30,2018Q2,3.207281
2018-09-30,2018Q3,3.155665
2018-12-31,2018Q4,3.091400
2019-03-31,2019Q1,3.008966
2019-06-30,2019Q2,2.900573
2019-09-30,2019Q3,2.878839
2019-12-31,2019Q4,3.010366
2020-03-31,2020Q1,3.274495
2020-06-30,2020Q2,3.656597
2020-09-30,2020Q3,3.843541
2020-12-31,2020Q4,3.829989
2021-03-31,2021Q1,3.866335
2021-06-30,2021Q2,3.699563
2021-09-30,2021Q3,3.451215
2021-12-31,2021Q4,3.373955
2022-03-31,2022Q1,3.245585
2022-06-30,2022Q2,3.122137
2022-09-30,2022Q3,3.142715
2022-12-31,2022Q4,3.117540
2023-03-31,2023Q1,3.016463
2023-06-30,2023Q2,2.994684
2023-09-30,2023Q3,3.084145
2023-12-31,2023Q4,3.182862
2024-03-31,2024Q1,3.270465
2024-06-30,2024Q2,3.393046
2024-09-30,2024Q3,3.436591
2024-12-31,2024Q4,3.452711
2025-03-31,2025Q1,3.590536
2025-06-30,2025Q2,3.715477
2025-08-31,2025Q3,3.742500