"DATE,""TIME PERIOD"",""Euro area - HICP Inflation - Average of Point forecasts - Target period ends 12 months after survey cycle begins (SPF.M.U2.HICP.POINT.P12M.Q.AVG)"""
"1999-12-31,""1999Dec"",""1.15"""
"2000-03-31,""2000Mar"",""1.46"""
"2000-06-30,""2000Jun"",""1.49"""
"2000-09-30,""2000Sep"",""1.52"""
"2000-12-31,""2000Dec"",""1.64"""
"2001-03-31,""2001Mar"",""1.71"""
"2001-06-30,""2001Jun"",""1.81"""
"2001-09-30,""2001Sep"",""1.82"""
"2001-12-31,""2001Dec"",""1.67"""
"2002-03-31,""2002Mar"",""1.78"""
"2002-06-30,""2002Jun"",""1.80"""
"2002-09-30,""2002Sep"",""1.63"""
"2002-12-31,""2002Dec"",""1.74"""
"2003-03-31,""2003Mar"",""1.89"""
"2003-06-30,""2003Jun"",""1.78"""
"2003-09-30,""2003Sep"",""1.81"""
"2003-12-31,""2003Dec"",""1.76"""
"2004-03-31,""2004Mar"",""1.57"""
"2004-06-30,""2004Jun"",""1.50"""
"2004-09-30,""2004Sep"",""1.64"""
"2004-12-31,""2004Dec"",""1.69"""
"2005-03-31,""2005Mar"",""1.70"""
"2005-06-30,""2005Jun"",""1.78"""
"2005-09-30,""2005Sep"",""1.85"""
"2005-12-31,""2005Dec"",""1.72"""
"2006-03-31,""2006Mar"",""1.77"""
"2006-06-30,""2006Jun"",""1.74"""
"2006-09-30,""2006Sep"",""1.79"""
"2006-12-31,""2006Dec"",""1.89"""
"2007-03-31,""2007Mar"",""2.13"""
"2007-06-30,""2007Jun"",""2.07"""
"2007-09-30,""2007Sep"",""2.06"""
"2007-12-31,""2007Dec"",""2.04"""
"2008-03-31,""2008Mar"",""1.97"""
"2008-06-30,""2008Jun"",""1.96"""
"2008-09-30,""2008Sep"",""1.98"""
"2008-12-31,""2008Dec"",""1.99"""
"2009-03-31,""2009Mar"",""2.13"""
"2009-06-30,""2009Jun"",""2.40"""
"2009-09-30,""2009Sep"",""1.95"""
"2009-12-31,""2009Dec"",""1.44"""
"2010-03-31,""2010Mar"",""1.17"""
"2010-06-30,""2010Jun"",""1.21"""
"2010-09-30,""2010Sep"",""1.29"""
"2010-12-31,""2010Dec"",""1.38"""
"2011-03-31,""2011Mar"",""1.43"""
"2011-06-30,""2011Jun"",""1.48"""
"2011-09-30,""2011Sep"",""1.55"""
"2011-12-31,""2011Dec"",""1.79"""
"2012-03-31,""2012Mar"",""1.94"""
"2012-06-30,""2012Jun"",""1.95"""
"2012-09-30,""2012Sep"",""1.63"""
"2012-12-31,""2012Dec"",""1.66"""
"2013-03-31,""2013Mar"",""1.80"""
"2013-06-30,""2013Jun"",""1.76"""
"2013-09-30,""2013Sep"",""1.86"""
"2013-12-31,""2013Dec"",""1.72"""
"2014-03-31,""2014Mar"",""1.56"""
"2014-06-30,""2014Jun"",""1.53"""
"2014-09-30,""2014Sep"",""1.48"""
"2014-12-31,""2014Dec"",""1.35"""
"2015-03-31,""2015Mar"",""1.24"""
"2015-06-30,""2015Jun"",""1.18"""
"2015-09-30,""2015Sep"",""1.07"""
"2015-12-31,""2015Dec"",""0.76"""
"2016-03-31,""2016Mar"",""0.98"""
"2016-06-30,""2016Jun"",""1.21"""
"2016-09-30,""2016Sep"",""1.10"""
"2016-12-31,""2016Dec"",""1.15"""
"2017-03-31,""2017Mar"",""1.10"""
"2017-06-30,""2017Jun"",""1.14"""
"2017-09-30,""2017Sep"",""1.21"""
"2017-12-31,""2017Dec"",""1.38"""
"2018-03-31,""2018Mar"",""1.48"""
"2018-06-30,""2018Jun"",""1.45"""
"2018-09-30,""2018Sep"",""1.48"""
"2018-12-31,""2018Dec"",""1.56"""
"2019-03-31,""2019Mar"",""1.56"""
"2019-06-30,""2019Jun"",""1.62"""
"2019-09-30,""2019Sep"",""1.67"""
"2019-12-31,""2019Dec"",""1.58"""
"2020-02-29,""2020Feb"",""1.55"""
"2020-03-31,""2020Mar"",""1.55"""
"2020-06-30,""2020Jun"",""1.33"""
"2020-09-30,""2020Sep"",""1.24"""
"2020-12-31,""2020Dec"",""1.28"""
"2021-03-31,""2021Mar"",""1.01"""
"2021-06-30,""2021Jun"",""1.05"""
"2021-09-30,""2021Sep"",""1.10"""
"2021-12-31,""2021Dec"",""1.30"""
"2022-03-31,""2022Mar"",""1.32"""
"2022-06-30,""2022Jun"",""1.43"""
"2022-09-30,""2022Sep"",""1.65"""
"2022-12-31,""2022Dec"",""1.81"""
"2023-03-31,""2023Mar"",""2.81"""
"2023-06-30,""2023Jun"",""3.56"""
"2023-09-30,""2023Sep"",""4.76"""
"2023-12-31,""2023Dec"",""3.62"""
"2024-03-31,""2024Mar"",""2.81"""
"2024-06-30,""2024Jun"",""2.79"""
"2024-09-30,""2024Sep"",""2.48"""
"2024-12-31,""2024Dec"",""2.27"""
"2025-03-31,""2025Mar"",""2.07"""
"2025-06-30,""2025Jun"",""2.07"""
"2025-09-30,""2025Sep"",""1.95"""
"2025-12-31,""2025Dec"",""1.98"""
"2026-03-31,""2026Mar"",""1.98"""
"2026-06-30,""2026Jun"",""1.82"""